rank	nome	frequencia	percent
420	caroline	53925	0.0266
421	lessa	53676	0.0264
422	albino	53634	0.0264
423	rodrigo	53549	0.0264
424	valerio	53226	0.0262
425	hora	52999	0.0261
426	joaquim	52654	0.0259
427	sulva	52545	0.0259
428	sergio	52542	0.0259
429	perez	52184	0.0257
430	baptista	51994	0.0256
431	januario	51813	0.0255
432	campelo	51750	0.0255
433	monte	51451	0.0253
434	bras	51165	0.0252
435	arcanjo	51008	0.0251
436	luciano	50979	0.0251
437	santa	50928	0.0251
438	germano	50726	0.025
439	salles	50602	0.0249
440	cassiano	50523	0.0249
441	neri	50453	0.0248
442	marcondes	50428	0.0248
443	patricio	50244	0.0247
444	bitencourt	49611	0.0244
445	julia	49437	0.0243
446	leme	49038	0.0241
447	candida	48966	0.0241
448	calixto	48809	0.024
449	nery	48713	0.024
450	boas	48675	0.024
451	tomas	48631	0.0239
452	nazare	48615	0.0239
453	marins	48347	0.0238
454	fortunato	48091	0.0237
455	cavalheiro	47969	0.0236
456	madeira	47886	0.0236
457	leitao	47724	0.0235
458	brum	47701	0.0235
459	salgado	47555	0.0234
460	cezar	47398	0.0233
461	delfino	47014	0.0232
462	honorio	46804	0.023
463	tome	46795	0.023
464	lorenco	46407	0.0229
465	cardozo	46173	0.0227
466	sarmento	46107	0.0227
467	loureiro	45936	0.0226
468	claudino	45829	0.0226
469	frazao	44563	0.0219
470	medina	44512	0.0219
471	sebastiao	44396	0.0219
472	gloria	44351	0.0218
473	marciel	44114	0.0217
474	marcal	44056	0.0217
475	valentim	44015	0.0217
476	silvs	43984	0.0217
477	bessa	43790	0.0216
478	gustavo	43723	0.0215
479	mourao	43421	0.0214
480	mascarenhas	43283	0.0213
481	mauricio	43232	0.0213
482	felicio	43106	0.0212
483	fortes	42759	0.0211
484	apolinario	42372	0.0209
485	davi	42135	0.0207
486	ortiz	42003	0.0207
487	trajano	41990	0.0207
488	matheus	41977	0.0207
489	freita	41923	0.0206
490	bonifacio	41877	0.0206
491	espindola	41700	0.0205
492	david	41188	0.0203
493	becker	41006	0.0202
494	verissimo	40968	0.0202
495	vilas	40811	0.0201
496	martinez	40799	0.0201
497	leonardo	40782	0.0201
498	aleixo	40467	0.0199
499	terra	40349	0.0199
500	jr	40242	0.0198
501	maximo	40107	0.0197
502	eugenio	40085	0.0197
503	bernardino	39953	0.0197
504	estevao	39536	0.0195
505	avelar	39535	0.0195
506	viegas	39496	0.0194
507	cesario	39291	0.0193
508	cipriano	38902	0.0192
509	lago	38754	0.0191
510	ataide	38671	0.019
511	quaresma	38387	0.0189
512	laurindo	38328	0.0189
513	adriano	38287	0.0189
514	victoria	38178	0.0188
515	antonia	38103	0.0188
516	bittencourt	38067	0.0187
517	malaquias	38047	0.0187
518	delgado	37976	0.0187
519	rogerio	37557	0.0185
520	prazeres	37495	0.0185
521	lopez	37468	0.0184
522	macena	37395	0.0184
523	floriano	37257	0.0183
524	anunciacao	36978	0.0182
525	dw	36965	0.0182
526	emanuel	36908	0.0182
527	castelo	36877	0.0182
528	romero	36867	0.0182
529	marcolino	36727	0.0181
530	fialho	36569	0.018
531	junqueira	36553	0.018
532	geronimo	36439	0.0179
533	florentino	36234	0.0178
534	cortes	36163	0.0178
535	ruiz	36157	0.0178
536	joao	36134	0.0178
537	ferro	36022	0.0177
538	seixas	35845	0.0177
539	magno	35768	0.0176
540	dorneles	35589	0.0175
541	cintra	35508	0.0175
542	proenca	35345	0.0174
543	sikva	35114	0.0173
544	varela	34920	0.0172
545	sofia	34812	0.0171
546	schneider	34779	0.0171
547	graca	34714	0.0171
548	regis	34611	0.017
549	rita	34429	0.017
550	americo	34305	0.0169
551	flor	34229	0.0169
552	telles	34139	0.0168
553	olveira	33888	0.0167
554	benicio	33800	0.0166
555	valadares	33767	0.0166
556	gabriela	33590	0.0165
557	serrao	33577	0.0165
558	dionisio	33576	0.0165
559	godinho	33468	0.0165
560	uchoa	33431	0.0165
561	munhoz	33425	0.0165
562	guajajara	33398	0.0164
563	del	33323	0.0164
564	fogaca	33139	0.0163
565	salomao	33089	0.0163
566	gil	33011	0.0163
567	nicolau	32938	0.0162
568	ramires	32792	0.0161
569	simplicio	32779	0.0161
570	padua	32676	0.0161
571	weber	32656	0.0161
572	vianna	32503	0.016
573	constantino	32491	0.016
574	guerreiro	32478	0.016
575	fontoura	32432	0.016
576	valentin	32431	0.016
577	ambrosio	32393	0.016
578	goncalvez	32320	0.0159
579	palma	32266	0.0159
580	olivera	32230	0.0159
581	mafra	32172	0.0158
582	clementino	32117	0.0158
583	agostinho	31729	0.0156
584	camelo	31703	0.0156
585	claudio	31566	0.0155
586	morreira	31544	0.0155
587	marcelo	31360	0.0154
588	gabriele	31335	0.0154
589	diogo	31231	0.0154
590	alcantra	31212	0.0154
591	medeiro	31210	0.0154
592	mathias	31207	0.0154
593	divino	31030	0.0153
594	gadelha	30979	0.0153
595	evaristo	30923	0.0152
596	neta	30906	0.0152
597	aurelio	30724	0.0151
598	jordao	30635	0.0151
599	dal	30455	0.015
600	frota	30265	0.0149
601	bernado	30213	0.0149
602	rolim	30170	0.0149
603	malta	30162	0.0149
604	baia	30133	0.0148
605	olimpio	30070	0.0148
606	manuel	30053	0.0148
607	bentes	29921	0.0147
608	crispim	29900	0.0147
609	calisto	29892	0.0147
610	silca	29779	0.0147
611	navarro	29694	0.0146
612	carla	29691	0.0146
613	henriques	29621	0.0146
614	ximenes	29558	0.0146
615	parente	29531	0.0145
615	lustosa	29531	0.0145
617	cosme	29434	0.0145
618	palmeira	29407	0.0145
619	azeredo	29381	0.0145
620	cecilia	29286	0.0144
621	rodriguez	29269	0.0144
622	benites	29143	0.0144
623	alvea	29094	0.0143
624	primo	29032	0.0143
625	caires	29003	0.0143
626	leonel	28963	0.0143
627	donato	28865	0.0142
628	damiao	28792	0.0142
629	gimenes	28660	0.0141
630	fragoso	28640	0.0141
631	valle	28452	0.014
632	mara	28389	0.014
633	siva	28388	0.014
634	julio	28328	0.0139
635	marciano	28202	0.0139
636	laurentino	28201	0.0139
637	alice	27861	0.0137
638	procopio	27805	0.0137
639	romano	27599	0.0136
640	cristine	27497	0.0135
641	golcalves	27456	0.0135
642	solza	27347	0.0135
643	fernandez	27335	0.0135
644	pina	27327	0.0135
645	jeronimo	27324	0.0135
646	canuto	27310	0.0134
647	fontenele	27216	0.0134
648	merces	27169	0.0134
649	bahia	27111	0.0133
650	souzq	27082	0.0133
651	loiola	27068	0.0133
652	tadeu	27063	0.0133
653	benevides	27059	0.0133
654	klein	27054	0.0133
655	santod	26963	0.0133
656	belem	26962	0.0133
657	pessanha	26935	0.0133
658	vila	26793	0.0132
659	porfirio	26775	0.0132
660	anastacio	26739	0.0132
661	cortez	26617	0.0131
662	liberato	26471	0.013
663	se	26422	0.013
664	silvia	26395	0.013
665	basto	26308	0.013
666	schmidt	26228	0.0129
667	cassimiro	26215	0.0129
668	quintino	26193	0.0129
669	madalena	26140	0.0129
670	raposo	26100	0.0129
671	molina	26074	0.0128
672	patricia	26064	0.0128
673	anacleto	25994	0.0128
674	conseicao	25944	0.0128
675	terezinha	25765	0.0127
676	cristo	25740	0.0127
677	timoteo	25707	0.0127
678	prata	25689	0.0126
679	paim	25563	0.0126
680	martin	25532	0.0126
681	hugo	25489	0.0126
682	junio	25401	0.0125
683	madureira	25397	0.0125
684	fiuza	25380	0.0125
685	teixera	25232	0.0124
686	anselmo	25209	0.0124
687	colares	25125	0.0124
688	silvq	25122	0.0124
689	alvares	24924	0.0123
690	alonso	24806	0.0122
691	nazario	24796	0.0122
692	isabel	24778	0.0122
693	belarmino	24550	0.0121
694	otavio	24431	0.012
695	beserra	24411	0.012
696	targino	24277	0.012
697	reboucas	24253	0.0119
698	portugal	24252	0.0119
699	boaventura	24218	0.0119
700	pascoal	24203	0.0119
701	tobias	24160	0.0119
702	zacarias	24144	0.0119
703	sartori	24095	0.0119
704	dantos	24084	0.0119
705	samuel	24043	0.0118
706	claro	24032	0.0118
707	fe	24018	0.0118
708	davila	23985	0.0118
709	caitano	23953	0.0118
710	fa	23936	0.0118
711	fontana	23903	0.0118
712	valentina	23898	0.0118
713	negreiros	23870	0.0118
714	vasconcelo	23829	0.0117
715	piedade	23821	0.0117
716	graciano	23800	0.0117
717	netto	23651	0.0116
718	furlan	23650	0.0116
719	adao	23616	0.0116
720	augusta	23607	0.0116
721	duque	23559	0.0116
722	gomea	23492	0.0116
723	rodriguea	23484	0.0116
724	gonzales	23473	0.0116
725	senna	23416	0.0115
726	soyza	23268	0.0115
727	roberta	23244	0.0114
728	abrantes	23227	0.0114
729	vilar	23192	0.0114
730	casagrande	23133	0.0114
731	rodeigues	23071	0.0114
732	salazar	23044	0.0113
733	parreira	22934	0.0113
