nome	frequencia	frequencia_normalizada
eunice	95958.0	0.0005353368365674457
wilian	95889.0	0.0005349518948041415
kelly	95532.0	0.0005329602395940018
tainara	95333.0	0.0005318500452331676
alisson	95071.0	0.0005303883823058383
iara	94727.0	0.0005284692523554517
aparecido	94436.0	0.0005268458023102118
israel	94325.0	0.000526226548169244
joelma	93857.0	0.0005236156388181366
marinalva	93627.0	0.0005223324996071223
edmilson	93514.0	0.0005217020877338848
teresinha	92667.0	0.0005169767881176712
rebeca	92452.0	0.0005157773318986796
geralda	92288.0	0.000514862397852565
josue	91762.0	0.0005119279142656366
cleonice	91089.0	0.000508173337356886
iraci	90802.0	0.0005065722027761854
alexandra	90467.0	0.0005047032826210124
jenifer	89461.0	0.0004990909432893585
mara	88918.0	0.0004960616189781377
elizangela	88722.0	0.0004949681612157081
liliane	88290.0	0.0004925580910454552
lidia	88259.0	0.000492385146195275
iracema	88145.0	0.0004917491554559026
lidiane	87204.0	0.0004864994424230136
marilia	87004.0	0.0004853836691960446
gerson	86856.0	0.00048455799700808757
sheila	86149.0	0.00048061373865075223
caua	85657.0	0.00047786893651240853
naiara	85605.0	0.0004775788354733966
ines	85586.0	0.0004774728370168346
sidnei	85455.0	0.0004767420055531699
poliana	84532.0	0.00047159271211070803
dalva	83815.0	0.0004675926650920243
lurdes	83562.0	0.00046618121195990853
emanuel	83281.0	0.0004646135505760171
teresa	83248.0	0.0004644294479935672
zilda	83135.0	0.00046379903612032975
valdeci	83124.0	0.00046373766859284643
lucilene	83036.0	0.0004632467283729801
clara	82936.0	0.0004626888417594956
rosane	82409.0	0.0004597487793064323
jaime	82401.0	0.0004597041483773536
valdemar	82199.0	0.0004585772174181149
ivonete	82114.0	0.0004581030137966531
edivaldo	81730.0	0.0004559607292008727
luciane	81510.0	0.00045473337865120677
isadora	81327.0	0.00045371244614853017
arnaldo	80848.0	0.0004510401692699395
lucimar	80637.0	0.0004498630285154872
nilza	80285.0	0.0004478992676360218
cristian	80154.0	0.00044716843617235714
moacir	79857.0	0.0004455115129303082
ismael	79413.0	0.0004430344963664371
paloma	79388.0	0.00044289502471306597
damiao	79321.0	0.00044252124068203135
michel	78975.0	0.000440590952999375
isaias	78969.0	0.00044055747980256595
carmem	78911.0	0.0004402339055667449
nivaldo	78831.0	0.00043978759627595734
suelen	78811.0	0.00043967601895326047
jairo	78707.0	0.0004390958168752366
angelo	78581.0	0.00043839287974224613
rosimeire	78355.0	0.0004371320559957712
jane	77345.0	0.0004314974011995778
valdecir	77189.0	0.00043062709808254203
wellington	77126.0	0.0004302756295160468
alexandro	76950.0	0.00042929374907631413
cleusa	76694.0	0.00042786555934579384
vanda	76593.0	0.0004273020938661745
ilda	76562.0	0.0004271291490159943
denis	76362.0	0.0004260133757890253
valdemir	76232.0	0.0004252881231914955
eliene	76114.0	0.0004246298169875838
wanderson	76012.0	0.0004240607726418296
rian	75625.0	0.00042190175144764464
claudinei	75456.0	0.00042095892307085584
jailson	75341.0	0.0004203173534653487
mayara	75057.0	0.00041873295548305276
celio	74984.0	0.00041832569825520907
diana	74947.0	0.0004181192802082198
